yearSeason,Rank,namePlayer,Age,Tm,Share,PriorAwards,PriorShares
2019,1,Lou Williams,32,LAC,0.978,2,2.339
2019,2,Domantas Sabonis,22,IND,0.38,0,0
2019,3,Montrezl Harrell,25,LAC,0.284,0,0
2019,4,Spencer Dinwiddie,25,BRK,0.068,0,0
2019,5,Terrence Ross,27,ORL,0.024,0,0
2019,6,Derrick Rose,30,MIN,0.022,0,0
2019,7,Dwyane Wade,37,MIA,0.016,0,0.006
2019,8,Dennis Schröder,25,OKC,0.01,0,0
2019,9,Monte Morris,23,DEN,0.006,0,0
2019,10,Andre Iguodala,35,GSW,0.004,0,1.249
2019,11T,Malik Beasley,22,DEN,0.002,0,0
2019,11T,Davis Bertans,26,SAS,0.002,0,0
2019,11T,Jae Crowder,28,UTA,0.002,0,0
2019,11T,Ed Davis,29,BRK,0.002,0,0.032
2018,1,Lou Williams,31,LAC,0.98,1,1.359
2018,2,Eric Gordon,29,HOU,0.487,1,0.716
2018,3,Fred VanVleet,23,TOR,0.127,0,0
2018,4,Will Barton,27,DEN,0.123,0,0.243
2018,5,Wayne Ellington,30,MIA,0.018,0,0
2018,6,Kelly Olynyk,26,MIA,0.014,0,0
2018,7T,Jordan Clarkson,25,TOT,0.01,0,0
2018,7T,Nikola Mirotic,26,TOT,0.01,0,0.037
2018,9,Kyle Kuzma,22,LAL,0.008,0,0
2018,10T,Terry Rozier,23,BOS,0.006,0,0
2018,10T,Dwyane Wade,36,TOT,0.006,0,0
2018,12T,J.J. Barea,33,DAL,0.002,0,0.008
2018,12T,Marco Belinelli,31,TOT,0.002,0,0.003
2018,12T,Rodney Hood,25,TOT,0.002,0,0
2018,12T,Luc Mbah a Moute,31,HOU,0.002,0,0
2018,12T,Jakob Poeltl,22,TOR,0.002,0,0
2018,12T,Tomas Satoransky,26,WAS,0.002,0,0
2017,1,Eric Gordon,28,HOU,0.716,0,0
2017,2,Andre Iguodala,33,GSW,0.652,0,0.597
2017,3,Lou Williams,30,TOT,0.14,1,1.219
2017,4,Zach Randolph,35,MEM,0.092,0,0.005
2017,5,James Johnson,29,MIA,0.05,0,0
2017,6,Greg Monroe,26,MIL,0.042,0,0
2017,7,Jamal Crawford,36,LAC,0.04,3,3.033
2017,8T,Enes Kanter,24,OKC,0.028,0,0.285
2017,8T,Patty Mills,28,SAS,0.028,0,0.002
2017,10,Tim Hardaway,24,ATL,0.006,0,0.002
2017,11T,Malcolm Brogdon,24,MIL,0.002,0,0
2017,11T,Vince Carter,40,MEM,0.002,0,0.021
2017,11T,Tyler Johnson,24,MIA,0.002,0,0
2016,1,Jamal Crawford,35,LAC,0.525,2,2.508
2016,2,Andre Iguodala,32,GSW,0.443,0,0.154
2016,3,Enes Kanter,23,OKC,0.28,0,0.005
2016,4,Will Barton,25,DEN,0.243,0,0
2016,5,Evan Turner,27,BOS,0.071,0,0
2016,6,Ryan Anderson,27,NOP,0.066,0,0.018
2016,7,Jeremy Lin,27,CHO,0.046,0,0
2016,8,Ed Davis,26,POR,0.032,0,0
2016,9,Dennis Schroder,22,ATL,0.026,0,0.002
2016,10,Tristan Thompson,24,CLE,0.025,0,0.051
2016,11,Shaun Livingston,30,GSW,0.011,0,0
2016,12T,J.J. Barea,31,DAL,0.008,0,0
2016,12T,Boris Diaw,33,SAS,0.008,0,0
2016,14,Zach LaVine,20,MIN,0.006,0,0
2016,15,Darren Collison,28,SAC,0.005,0,0
2016,16T,Allen Crabbe,23,POR,0.002,0,0
2016,16T,Jrue Holiday,25,NOP,0.002,0,0
2016,16T,Patrick Patterson,26,TOR,0.002,0,0
2016,16T,Mirza Teletovic,30,PHO,0.002,0,0
2015,1,Lou Williams,28,TOR,0.772,0,0.447
2015,2,Isaiah Thomas,25,TOT,0.498,0,0
2015,3,Jamal Crawford,34,LAC,0.202,2,2.306
2015,4,Andre Iguodala,31,GSW,0.154,0,0
2015,5,Tristan Thompson,23,CLE,0.051,0,0
2015,6,Nikola Mirotic,23,CHI,0.037,0,0
2015,7,Marreese Speights,27,GSW,0.031,0,0
2015,8T,Corey Brewer,28,TOT,0.018,0,0.007
2015,8T,Manu Ginobili,37,SAS,0.018,1,0.628
2015,10,Taj Gibson,29,CHI,0.012,0,0.679
2015,11T,Aaron Brooks,30,CHI,0.002,0,0
2015,11T,Chris Kaman,32,POR,0.002,0,0
2015,11T,Anthony Morrow,29,OKC,0.002,0,0
2015,11T,Dennis Schroder,21,ATL,0.002,0,0
2014,1,Jamal Crawford,33,LAC,0.674,1,1.632
2014,2,Taj Gibson,28,CHI,0.632,0,0.047
2014,3,Manu Ginobili,36,SAS,0.221,1,0.407
2014,4,Markieff Morris,24,PHO,0.136,0,0
2014,5,Reggie Jackson,23,OKC,0.078,0,0
2014,6,Vince Carter,37,DAL,0.019,0,0.002
2014,7,D.J. Augustin,26,TOT,0.01,0,0
2014,8T,Enes Kanter,21,UTA,0.005,0,0
2014,8T,Dion Waiters,22,CLE,0.005,0,0
2014,8T,Nick Young,28,LAL,0.005,0,0
2014,11T,Chris Andersen,35,MIA,0.003,0,0.021
2014,11T,Marco Belinelli,27,SAS,0.003,0,0
2014,13T,Andray Blatche,27,BRK,0.002,0,0
2014,13T,Tim Hardaway,21,NYK,0.002,0,0
2014,13T,Patty Mills,25,SAS,0.002,0,0
2014,13T,Timofey Mozgov,27,DEN,0.002,0,0
2014,13T,Greivis Vasquez,27,TOT,0.002,0,0
2014,13T,Mo Williams,31,POR,0.002,0,0.055
2013,1,J.R. Smith,27,NYK,0.8,0,0.361
2013,2,Jamal Crawford,32,LAC,0.582,1,1.05
2013,3,Jarrett Jack,29,GSW,0.281,0,0.005
2013,4,Kevin Martin,29,OKC,0.051,0,0
2013,5,Ryan Anderson,24,NOH,0.018,0,0
2013,6,Andre Miller,36,DEN,0.012,0,0.002
2013,7,Jordan Crawford,24,TOT,0.008,0,0
2013,8T,Corey Brewer,26,DEN,0.007,0,0
2013,8T,Manu Ginóbili,35,SAS,0.007,1,1.614
2013,8T,Carl Landry,29,GSW,0.007,0,0.025
2013,8T,Nate Robinson,28,CHI,0.007,0,0.187
2013,12T,Shane Battier,34,MIA,0.003,0,0.017
2013,12T,Ramon Sessions,26,CHA,0.003,0,0
2013,14T,Luke Babbitt,23,POR,0.002,0,0
2013,14T,Vince Carter,36,DAL,0.002,0,0
2013,14T,Gordon Hayward,22,UTA,0.002,0,0
2013,14T,J.J. Redick,28,TOT,0.002,0,0.002
2012,1,James Harden,22,OKC,0.982,0,0.032
2012,2,Lou Williams,25,PHI,0.388,0,0.059
2012,3,Jason Terry,34,DAL,0.136,1,1.801
2012,4,Al Harrington,31,DEN,0.071,0,0.472
2012,5T,Taj Gibson,26,CHI,0.047,0,0
2012,5T,Manu Ginóbili,34,SAS,0.047,1,1.567
2012,7,O.J. Mayo,24,MEM,0.03,0,0.005
2012,8,Mo Williams,29,LAC,0.024,0,0.031
2012,9,Thaddeus Young,23,PHI,0.017,0,0.13
